"subject","controller","condition","word","response","raw_response_time","response_time","type","block_G","group","subject_dummy","response_time1","dummy_type","subject2","subject3","means","adjusted_response_time","similarity_G","sound","similarity"
1,"Question","item-target1-block1-group1","thought","1",2875,2875,"Consonant","block1",1,"1_Consonant_block1_",NA,"filler","1_filler_block1_","1_Consonant_block1_",1209.875,NA,"distant","0.5","0.5"
1,"Question","item-target2-block1-group1","black","1",1419,1419,"Vowel","block1",1,"1_Vowel_block1_",1419,"filler","1_filler_block1_","1_Vowel_block1_",1209.875,209.125,"distant","-0.5","0.5"
1,"Question","item-target2-block1-group1","battle","0",2701,2701,"Vowel","block1",1,"1_Vowel_block1_",2701,"filler","1_filler_block1_","1_Vowel_block1_",1209.875,1491.125,"distant","-0.5","0.5"
1,"Question","item-target1-block1-group1","think","1",1135,1135,"Consonant","block1",1,"1_Consonant_block1_",1135,"filler","1_filler_block1_","1_Consonant_block1_",1209.875,-74.875,"distant","0.5","0.5"
1,"Question","item-target1-block1-group2","theme","1",1595,1595,"Consonant","block1",2,"1_Consonant_block1_",1595,"filler","1_filler_block1_","1_Consonant_block1_",1209.875,385.125,"distant","0.5","0.5"
1,"Question","item-target2-block1-group2","faster","1",986,986,"Vowel","block1",2,"1_Vowel_block1_",986,"filler","1_filler_block1_","1_Vowel_block1_",1209.875,-223.875,"distant","-0.5","0.5"
1,"Question","item-target1-block1-group2","worth","1",1144,1144,"Consonant","block1",2,"1_Consonant_block1_",1144,"filler","1_filler_block1_","1_Consonant_block1_",1209.875,-65.875,"distant","0.5","0.5"
1,"Question","item-target2-block1-group2","bond","0",5567,5567,"Vowel","block1",2,"1_Vowel_block1_",NA,"filler","1_filler_block1_","1_Vowel_block1_",1209.875,NA,"close","-0.5","0.5"
1,"Question","item-target2-block1-group3","cap","0",2507,2507,"Vowel","block1",3,"1_Vowel_block1_",2507,"filler","1_filler_block1_","1_Vowel_block1_",1209.875,1297.125,"distant","-0.5","0.5"
1,"Question","item-target1-block1-group3","path","0",1076,1076,"Consonant","block1",3,"1_Consonant_block1_",1076,"filler","1_filler_block1_","1_Consonant_block1_",1209.875,-133.875,"distant","0.5","0.5"
1,"Question","item-target2-block1-group3","pat","1",1185,1185,"Vowel","block1",3,"1_Vowel_block1_",1185,"filler","1_filler_block1_","1_Vowel_block1_",1209.875,-24.875,"distant","-0.5","0.5"
1,"Question","item-target1-block1-group3","sigh","0",1666,1666,"Consonant","block1",3,"1_Consonant_block1_",1666,"filler","1_filler_block1_","1_Consonant_block1_",1209.875,456.125,"close","0.5","0.5"
1,"Question","item-target1-block1-group4","growth","0",1427,1427,"Consonant","block1",4,"1_Consonant_block1_",1427,"filler","1_filler_block1_","1_Consonant_block1_",1209.875,217.125,"distant","0.5","0.5"
1,"Question","item-target2-block1-group4","bad","0",1462,1462,"Vowel","block1",4,"1_Vowel_block1_",1462,"filler","1_filler_block1_","1_Vowel_block1_",1209.875,252.125,"distant","-0.5","0.5"
1,"Question","item-target2-block1-group4","mop","1",1031,1031,"Vowel","block1",4,"1_Vowel_block1_",1031,"filler","1_filler_block1_","1_Vowel_block1_",1209.875,-178.875,"close","-0.5","0.5"
1,"Question","item-target1-block1-group4","myth","1",1175,1175,"Consonant","block1",4,"1_Consonant_block1_",1175,"filler","1_filler_block1_","1_Consonant_block1_",1209.875,-34.875,"distant","0.5","0.5"
1,"Question","item-target2-block1-group5","foster","1",1329,1329,"Vowel","block1",5,"1_Vowel_block1_",1329,"filler","1_filler_block1_","1_Vowel_block1_",1209.875,119.125,"close","-0.5","0.5"
1,"Question","item-target1-block1-group5","seem","1",845,845,"Consonant","block1",5,"1_Consonant_block1_",845,"filler","1_filler_block1_","1_Consonant_block1_",1209.875,-364.875,"close","0.5","0.5"
1,"Question","item-target1-block1-group5","path","1",585,585,"Consonant","block1",5,"1_Consonant_block1_",585,"filler","1_filler_block1_","1_Consonant_block1_",1209.875,-624.875,"distant","0.5","0.5"
1,"Question","item-target2-block1-group5","block","1",889,889,"Vowel","block1",5,"1_Vowel_block1_",889,"filler","1_filler_block1_","1_Vowel_block1_",1209.875,-320.875,"close","-0.5","0.5"
1,"Question","item-target1-block1-group6","growth","1",548,548,"Consonant","block1",6,"1_Consonant_block1_",548,"filler","1_filler_block1_","1_Consonant_block1_",1209.875,-661.875,"distant","0.5","0.5"
1,"Question","item-target2-block1-group6","bond","1",811,811,"Vowel","block1",6,"1_Vowel_block1_",811,"filler","1_filler_block1_","1_Vowel_block1_",1209.875,-398.875,"close","-0.5","0.5"
1,"Question","item-target2-block1-group6","bad","1",1057,1057,"Vowel","block1",6,"1_Vowel_block1_",1057,"filler","1_filler_block1_","1_Vowel_block1_",1209.875,-152.875,"distant","-0.5","0.5"
1,"Question","item-target1-block1-group6","miss","1",797,797,"Consonant","block1",6,"1_Consonant_block1_",797,"filler","1_filler_block1_","1_Consonant_block1_",1209.875,-412.875,"close","0.5","0.5"
1,"Question","item-target1-block1-group7","sought","1",823,823,"Consonant","block1",7,"1_Consonant_block1_",823,"filler","1_filler_block1_","1_Consonant_block1_",1209.875,-386.875,"close","0.5","0.5"
1,"Question","item-target2-block1-group7","cap","1",649,649,"Vowel","block1",7,"1_Vowel_block1_",649,"filler","1_filler_block1_","1_Vowel_block1_",1209.875,-560.875,"distant","-0.5","0.5"
